pgid,ExpID,Submitted,SubmissionTime,Running,Error,ErrorTime,Finished,FinishedTime,Restart,InverseTargetIterations,InverseIterationsDone,SpinupYears,SpinupYearsDone,InvertFor,GradientCalc,gsC,gsA,gaC,gaA,Measurements,Velocity,startGeometry,startMesh,SlidingLaw,m,startC,n,startAglen,Comments
0,1421,0,05-Dec-2023 10:31:41,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,15,15,0,0,-logC-,FixPoint,100000,100000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1905,0,07-Dec-2023 12:28:36,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,25,25,0,0,-logC-,FixPoint,10000,10000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1126,0,07-Dec-2023 12:54:45,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,25,25,0,0,-logC-,FixPoint,1000000,1000000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1913,0,07-Dec-2023 13:23:42,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,25,25,0,0,-logC-,FixPoint,100000,100000,10,10,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1632,0,07-Dec-2023 13:47:36,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,25,25,0,0,-logC-,FixPoint,10000,10000,10,10,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1097,0,07-Dec-2023 14:12:06,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,1,25,25,0,0,-logC-,FixPoint,1000000,1000000,10,10,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1814,0,21-Dec-2023 01:41:31,0,0,01-Jan-2001 00:00:00,1,21-Dec-2023 00:00:00,0,25000,25000,0,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1421,3,0,NaN
0,1278,0,16-Dec-2023 15:55:51,0,0,01-Jan-2001 00:00:00,1,16-Dec-2023 00:00:00,0,15000,15000,0,0,-logA-logC-,Adjoint,10000,10000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1905,3,0,NaN
0,1546,0,21-Dec-2023 09:12:33,0,0,01-Jan-2001 00:00:00,1,21-Dec-2023 00:00:00,0,25000,25000,0,0,-logA-logC-,Adjoint,1000000,1000000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1126,3,0,NaN
0,1957,0,11-Dec-2023 18:42:00,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,10000,10000,0,0,-logA-logC-,Adjoint,100000,100000,10,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1913,3,0,NaN
0,1964,0,11-Dec-2023 17:49:30,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,10000,10000,0,0,-logA-logC-,Adjoint,10000,10000,10,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1632,3,0,NaN
0,1157,0,11-Dec-2023 14:52:40,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,10000,10000,0,0,-logA-logC-,Adjoint,1000000,1000000,10,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1097,3,0,NaN
0,1970,0,11-Dec-2023 10:20:09,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,15,15,0,0,-logC-,FixPoint,50000,50000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1485,0,11-Dec-2023 10:23:43,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,15,15,0,0,-logC-,FixPoint,250000,250000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1800,0,11-Dec-2023 10:24:16,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,15,15,0,0,-logC-,FixPoint,500000,500000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1141,0,11-Dec-2023 10:24:44,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,15,15,0,0,-logC-,FixPoint,750000,750000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1915,0,11-Dec-2023 10:32:41,0,0,01-Jan-2001 00:00:00,1,01-Jan-2001 00:00:00,0,15,15,0,0,-logC-,FixPoint,2000000,2000000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,0,3,0,NaN
0,1792,0,15-Dec-2023 13:18:52,0,0,01-Jan-2001 00:00:00,1,15-Dec-2023 00:00:00,0,15000,15000,0,0,-logA-logC-,Adjoint,50000,50000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1970,3,0,NaN
0,1959,0,21-Dec-2023 01:26:25,0,0,01-Jan-2001 00:00:00,1,21-Dec-2023 00:00:00,0,25000,25000,0,0,-logA-logC-,Adjoint,250000,250000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1485,3,0,NaN
0,1655,0,21-Dec-2023 00:26:40,0,0,01-Jan-2001 00:00:00,1,21-Dec-2023 00:00:00,0,25000,25000,0,0,-logA-logC-,Adjoint,500000,500000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1800,3,0,NaN
0,1035,0,21-Dec-2023 13:14:28,0,0,01-Jan-2001 00:00:00,1,21-Dec-2023 00:00:00,0,25000,25000,0,0,-logA-logC-,Adjoint,750000,750000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1141,3,0,NaN
0,1849,0,20-Dec-2023 18:49:34,0,0,01-Jan-2001 00:00:00,1,21-Dec-2023 00:00:00,0,25000,25000,0,0,-logA-logC-,Adjoint,2000000,2000000,1,1,-uv-,2000,2000,2000_meshmin5000_meshmax100000,Weertman,3,1915,3,0,NaN
0,1933,0,18-Dec-2023 14:23:04,0,0,01-Jan-2001 00:00:00,1,18-Dec-2023 00:00:00,0,15,15,0,0,-logC-,FixPoint,500000,500000,1,1,-uv-,2000,2000,2000_meshmin1500_meshmax100000,Weertman,3,0,3,0,NaN
0,1678,0,21-Dec-2023 07:25:05,0,1,21-Dec-2023 10:08:27,1,01-Jan-2001 00:00:00,0,10000,3000,0,0,-logA-logC-,Adjoint,500000,500000,1,1,-uv-,2000,2000,2000_meshmin1500_meshmax100000,Weertman,3,1933,3,0,NaN
0,1757,0,24-Jan-2024 09:20:58,0,0,23-Jan-2024 09:21:12,1,24-Jan-2024 10:21:19,0,30,30,0,0,-logC-,FixPoint,100000,100000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1743,0,24-Jan-2024 09:24:59,0,0,01-Jan-2001 00:00:00,1,24-Jan-2024 10:19:58,0,30,30,0,0,-logC-,FixPoint,500000,500000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1392,0,17-Jan-2024 17:11:47,0,0,01-Jan-2001 00:00:00,1,17-Jan-2024 00:00:00,0,30,30,0,0,-logC-,FixPoint,100000,100000,1,1,-uv-,2009,2009,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1171,0,17-Jan-2024 17:18:08,0,0,01-Jan-2001 00:00:00,1,17-Jan-2024 00:00:00,0,30,30,0,0,-logC-,FixPoint,500000,500000,1,1,-uv-,2009,2009,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1706,0,18-Jan-2024 13:09:29,0,0,01-Jan-2001 00:00:00,1,18-Jan-2024 00:00:00,0,30,30,0,0,-logC-,FixPoint,100000,100000,1,1,-uv-,2014,2014,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1031,0,18-Jan-2024 13:12:23,0,0,01-Jan-2001 00:00:00,1,18-Jan-2024 00:00:00,0,30,30,0,0,-logC-,FixPoint,500000,500000,1,1,-uv-,2014,2014,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1276,0,18-Jan-2024 14:27:41,0,0,01-Jan-2001 00:00:00,1,18-Jan-2024 00:00:00,0,30,30,0,0,-logC-,FixPoint,100000,100000,1,1,-uv-,2018,2018,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1046,0,18-Jan-2024 14:31:37,0,0,01-Jan-2001 00:00:00,1,18-Jan-2024 00:00:00,0,30,30,0,0,-logC-,FixPoint,500000,500000,1,1,-uv-,2018,2018,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,0,3,0,NaN
0,1694,0,15-Feb-2024 01:52:47,0,0,19-Jan-2024 10:32:16,1,18-Feb-2024 03:24:05,0,20000,20000,0,0,-logA-logC-,Adjoint,500000,500000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1655,3,1655,NaN
0,1317,0,19-Feb-2024 23:27:38,0,0,12-Feb-2024 10:00:45,1,24-Feb-2024 08:18:36,0,20000,20000,0,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2009,2009,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1950,3,1950,NaN
0,1950,0,21-Jan-2024 12:07:49,0,0,01-Jan-2001 00:00:00,1,21-Jan-2024 00:00:00,0,10000,10000,0,0,-logA-logC-,Adjoint,500000,500000,1,1,-uv-,2009,2009,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1171,3,0,NaN
0,1034,0,20-Feb-2024 13:29:56,0,0,12-Feb-2024 09:33:29,1,24-Feb-2024 13:13:29,0,20000,20000,0,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2014,2014,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1438,3,1438,NaN
0,1438,0,21-Jan-2024 21:40:31,0,0,19-Jan-2024 16:42:04,1,22-Jan-2024 00:00:00,0,10000,10000,0,0,-logA-logC-,Adjoint,500000,500000,1,1,-uv-,2014,2014,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1031,3,0,NaN
0,1381,0,22-Jan-2024 03:59:17,0,0,19-Jan-2024 15:30:05,1,22-Jan-2024 00:00:00,0,10000,10000,0,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2018,2018,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1276,3,0,NaN
0,1765,0,21-Jan-2024 19:20:47,0,0,19-Jan-2024 16:23:16,1,22-Jan-2024 00:00:00,0,10000,10000,0,0,-logA-logC-,Adjoint,500000,500000,1,1,-uv-,2018,2018,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1046,3,0,NaN
0,1795,0,13-Feb-2024 03:57:11,0,0,06-Feb-2024 22:26:27,1,15-Feb-2024 13:24:25,0,20000+1000+1000,20000,1+1,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1814,3,1814,NaN
0,1186,0,26-Feb-2024 17:05:02,0,0,19-Jan-2024 15:30:05,1,26-Feb-2024 11:52:41,0,10000,10000,0,0,-logA-,Adjoint,100000,100000,1,1,-uv-,2018,2018,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1795,3,0,NaN
0,1646,0,28-Feb-2024 20:21:06,0,0,06-Feb-2024 22:26:27,1,15-Feb-2024 13:24:25,0,20000,20000,0,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,5,1795,3,1795,NaN
0,1709,0,28-Feb-2024 07:04:30,0,0,06-Feb-2024 22:26:27,1,15-Feb-2024 13:24:25,0,20000,20000,0,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,7,1795,3,1795,NaN
0,1754,0,28-Feb-2024 03:07:41,0,0,06-Feb-2024 22:26:27,1,01-Mar-2024 09:46:30,0,20000,20000,0,0,-logA-logC-,Adjoint,100000,100000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,9,1795,3,1795,NaN
0,1679,0,01-Mar-2024 00:20:55,0,0,19-Jan-2024 15:30:05,1,26-Feb-2024 09:02:52,0,10000,10000,0,0,-logA-,Adjoint,100000,100000,1,1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1381,3,0,NaN
3893,1823,1,06-Mar-2024 09:14:39,1,0,04-Mar-2024 15:41:51,0,26-Feb-2024 17:05:02,0,10000,0,0,0,-logA-logC-,Adjoint,100000,100000,100000,1,-uv-,2018,2018,2000_2009_2014_2018_meshmin3000_meshmax100000,Weertman,3,1795,3,1795,NaN
